mic1,mic2,mic3,mic4
1092,1000,-1420,-2136
-1126,1396,-562,964
-1560,1602,278,696
-404,638,1088,3984
-2410,494,1506,1562
-1624,-712,2252,2584
-1516,-128,870,564
-690,-1842,228,168
504,-1148,-720,-962
1048,-726,-1226,-2168
1646,30,-1520,-986
638,612,-1952,-704
150,78,-1872,-154
-222,1800,-1056,-234
-980,380,296,362
-766,612,1006,588
-1238,578,1790,840
-380,-440,1188,1300
-404,128,788,552
-144,-540,458,716
-34,-532,-898,78
286,-444,-1116,-534
214,-228,-1672,-644
408,116,-1090,-994
294,220,-710,-1020
74,192,-288,-528
-372,466,30,-512
-538,534,476,94
-550,326,816,534
-686,48,660,790
-730,-124,278,608
-622,-96,472,456
-430,-292,-228,696
-102,-210,-476,44
-144,-300,-644,-376
162,-48,-878,-270
36,130,-554,-612
242,204,-602,-194
-58,288,-228,-222
-162,392,-48,-140
-314,272,68,-6
-356,250,306,-22
-312,74,492,214
-348,-10,254,104
-218,-60,188,330
-400,-20,-24,84
-218,24,-390,46
-290,-176,-270,266
-118,-434,-570,-86
26,60,-334,-10
-100,252,-512,-126
260,-72,-154,-90
-134,230,62,-84
-128,76,-176,-356
-224,50,238,30
-392,276,98,160
-248,-88,68,62
-316,36,100,452
-276,144,-28,142
-280,314,-208,190
32,-58,-268,322
-44,-6,-240,22
92,88,-348,-34
232,-40,-156,-202
-54,-36,-174,-172
48,88,10,-154
-300,162,48,-112
-372,286,78,76
-352,56,12,52
-476,150,-176,102
-330,166,-140,352
-90,-30,-142,184
0,-144,-102,148
-10,132,-216,98
84,54,-118,38
-50,98,-148,2
14,70,-170,-298
-166,98,-122,-112
-214,70,-166,-184
-136,46,-54,-180
-270,24,-42,4
-250,12,-124,70
-202,0,-66,264
-118,170,-72,112
-144,138,-88,140
-90,112,-178,100
-96,104,-166,-10
-46,74,-164,-146
-42,40,-60,-190
-114,84,-82,-208
-82,32,-76,-202
-206,58,-64,-96
-260,48,-100,10
-224,62,-102,122
-228,84,-134,26
-236,70,-114,152
-138,92,-104,110
-92,112,-150,4
-34,44,-104,-48
20,116,-74,-52
-24,62,-124,-62
-92,68,-138,-102
-158,20,-80,-186
-230,30,-114,-50
-210,34,-88,-48
-242,86,-40,-18
-130,122,-114,32
-84,140,-102,-24
-54,154,-62,28
-22,122,-122,38
-54,148,-82,22
-52,138,-66,-22
-100,48,-100,12
-164,0,-98,-60
-114,8,-66,26
-158,48,-118,-36
-154,84,-56,-60
-108,118,-56,18
-114,82,-100,2
-86,100,-68,28
-94,108,-48,54
-84,122,-88,88
